,id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold
0,179731388,Túi Đeo Chéo Nam Nhỏ Gọn Tiện Lợi Phong Cách Hàn Quốc TA070,"  Túi Đeo Chéo Nam Nhỏ Gọn Tiện Lợi Phong Cách Hàn Quốc TA070   Chất liệu : PVC cao cấp chống thấm nước, bảo vệ môi trường   Hoa văn chi tiết : Trong suốt   Số ngăn : 1 ngăn chính lớn , ngăn phụ c...",15000,15000,dropship,OEM,0,0.0,0,False,Thiên Ân Balo,488,10,0,False,Túi đeo chéo nam,0
1,207737218,Túi đeo chéo mini phối màu xíu xinh phong cách trẻ trung năng động TA085,"Chào mừng bạn đến với cửa hàng của tôiSản phẩm tại cửa hàng sẽ được kiểm tra kỹ càng trước khi xuất xưởng, các bạn cứ yên tâm mua hàng nhé.Nếu bạn có bất kỳ câu hỏi nào, bạn có thể tư vấn dịch vụ khác...",9000,9000,dropship,OEM,0,0.0,0,False,Thiên Ân Balo,286,7,0,False,Túi đeo chéo nam,0
2,179731359,Túi đeo chéo mini nam nữ thời trang nhỏ gọn bỏ điện thoại mỹ phẩm TA069,"  Chất liệu : PVC cao cấp chống thấm nước, bảo vệ môi trường   Hoa văn chi tiết : Trong suốt   Số ngăn : 1 ngăn chính lớn , ngăn phụ có nhiều khoang đựng như video shop quay thực tế    Thiết kế lu...",15000,15000,dropship,OEM,0,0.0,0,False,Thiên Ân Balo,488,10,0,False,Túi đeo chéo nam,0
3,102862656, Túi Đeo Chéo Hà Mã thời trang hai ngăn siêu rẻ kèm ảnh thật rất hot,"       ‭ ⇒ Màu sắc : Đen   ⇒ Kích thước: gọn gàng   ⇒ Chất liệu chuyên dụng cao cấp.   ⇒ Đường may tỉ mỉ, chắc chắn.   ⇒ ĐA NĂNG : đeo chéo, trước ngực , sao lưng. ôm sát người (tăng đưa cao h...",8500,8500,dropship,OEM,0,0.0,0,False,Xưởng may balo Đà Nẵng,831,10,0,False,Root,0
4,198227440,Tất Nam Nữ Trơn Cổ Ngắn Vớ Nam Thời Trang Cao Cấp Chất Cotton 100% Co Giãn Thấm Hút GC25,- Tất - Vớ là một loại vật dụng không thể thiếu khi đi vào bàn chân người khi đi giày hoặc mùa lạnh.- Những người thường xuyên đi bít tất thì khả năng chống thấp khớp khi đi chân trần dưới đất cao hơ...,1350,1350,dropship,OEM,0,0.0,0,False,THỜI TRANG QUANG STORE,355,10,0,False,Túi đeo chéo nam,0
5,81112510,"Túi đeo hông, đeo bụng nam, nữ chạy bộ thể thao","       Vì sử dụng chất liệu lycra 2 lớp nên còn có tính năng chống nước và mồ hôi tốt cho điện thoại, thiết kế gọn nhẹ. Tích hợp dải phản quang giúp tập luyện an toàn hơn trong điều kiện ánh sáng ...",42900,36300,dropship,OEM,47,4.7,0,False,Shalla,885,9,0,False,Túi đeo chéo nam,177
6,113695471,"Túi đựng giày thể thao, thiết kế nhỏ gọn, tiện lợi, chất liệu chống thấm nước tốt, kiểu dáng sành điệu, giá cực rẻ",*** TÊN CỬA HÀNG VÀ THƯƠNG HIỆU - ( GoodShopGoodShop ) - MỌI HÌNH ẢNH LÀ THỰC TẾ SHOP CAM KẾT SẢN PHẨM GIỐNG HÌNH ẢNH 100%. SHOP LUÔN LUÔN MONG MUỐN PHỤC VỤ KHÁCH HÀNG THẬT TỐT ĐỂ KHÁCH HÀNG CÓ NHỮNG ...,50000,29000,dropship,OEM,0,0.0,0,False,GOODSHOPGOODSHOP,786,1,0,False,Túi đeo chéo nam,1
7,179731617,TÚI ĐEO CHÉO 1 KHÓA GÀI THỜI TRANG NAM NỮ TA046,"  Chào mừng bạn đến với cửa hàng của tôi   Sản phẩm tại cửa hàng sẽ được kiểm tra kỹ càng trước khi xuất xưởng, các bạn cứ yên tâm mua hàng nhé.   Nếu bạn có bất kỳ câu hỏi nào, bạn có thể tư vấn d...",27550,27550,dropship,OEM,0,0.0,0,False,Thiên Ân Balo,488,7,0,False,Túi đeo chéo nam,0
8,165699459,Túi đeo chéo nam Vải canvas chỉ 2 chấm siêu nhẹ NH78 Shalla tặng bút cảm ứng,       ⇒Kích thước : (30cm *17cm*6cm*) (cao*dài*rộng)Trọng lượng túi :    ⇒Đệm bông sau (ốp most): có   ⇒Thích hợp cho mọi độ tuổi   ⇒Giới tính: Nam & nữ.   ⇒Kết cấu: lót trong Oxford   ⇒...,39039,33033,dropship,OEM,2,3.5,0,False,Shalla,558,8,0,False,Túi đeo chéo nam,11
9,174176019,Túi Đeo Chéo Mini Nam Local Brand Midori For Man,"       Chào mừng bạn đến với cửa hàng của tôi   Sản phẩm tại cửa hàng sẽ được kiểm tra kỹ càng trước khi xuất xưởng, các bạn cứ yên tâm mua hàng nhé.   Nếu bạn có bất kỳ câu hỏi nào, bạn có thể ...",19000,19000,dropship,OEM,1,2.0,0,False,Thiên Ân Balo,522,5,0,False,Túi đeo chéo nam,1
